dataset,label,obj_id,n_points
NYC,NYC,5772012,660
NYC,NYC,5772014,648
NYC,NYC,5772015,648
NYC,NYC,5772017,648
NYC,NYC,5772018,733
NYC,NYC,5772020,723
NYC,NYC,5772047,734
NYC,NYC,5772051,687
NYC,NYC,5772090,730
NYC,NYC,5772116,1366
NYC,NYC,5772118,1091
NYC,NYC,5772119,754
NYC,NYC,5772120,756
NYC,NYC,5772121,647
NYC,NYC,5819800,676
NYC,NYC,5844399,683
NYC,NYC,5849020,731
NYC,NYC,5874745,661
NYC,NYC,5874747,645
NYC,NYC,5874766,675
NYC,NYC,5874770,655
NYC,NYC,5874782,919
NYC,NYC,5874785,826
NYC,NYC,5874786,665
NYC,NYC,5874788,646
NYC,NYC,5874789,649
NYC,NYC,5874843,659
NYC,NYC,5874844,664
NYC,NYC,5874852,642
NYC,NYC,5874870,1493
NYC,NYC,5874871,1354
NYC,NYC,5875150,669
NYC,NYC,5875151,676
NYC,NYC,5875171,921
NYC,NYC,5875172,779
NYC,NYC,5875174,850
NYC,NYC,5875175,869
NYC,NYC,5875177,942
NYC,NYC,5880546,644
NYC,NYC,5880560,690
NYC,NYC,5880562,676
NYC,NYC,5880565,642
NYC,NYC,5880576,661
NYC,NYC,5880621,2124
NYC,NYC,5880623,743
NYC,NYC,5880626,975
NYC,NYC,5880627,690
NYC,NYC,5880628,642
NYC,NYC,5880646,741
NYC,NYC,5880650,1035
NYC,NYC,5880663,650
NYC,NYC,5882074,656
NYC,NYC,5882075,1024
NYC,NYC,5882149,834
NYC,NYC,5882150,715
NYC,NYC,5882155,651
NYC,NYC,5882171,772
NYC,NYC,5882183,674
NYC,NYC,5882185,703
NYC,NYC,5882196,679
NYC,NYC,5882198,668
NYC,NYC,5882199,673
NYC,NYC,5882205,649
NYC,NYC,5882206,1397
NYC,NYC,5882207,655
NYC,NYC,5882208,650
NYC,NYC,5882249,677
NYC,NYC,5882251,848
NYC,NYC,5882252,845
NYC,NYC,5882276,884
NYC,NYC,5882278,1603
NYC,NYC,5882282,1981
NYC,NYC,5882283,642
NYC,NYC,5882285,648
NYC,NYC,5912518,1420
NYC,NYC,5938784,760
NYC,NYC,5954693,2390
NYC,NYC,5969191,659
NYC,NYC,5969211,642
NYC,NYC,5969213,1202
NYC,NYC,5969214,693
NYC,NYC,5969215,911
NYC,NYC,5969219,719
NYC,NYC,5969261,674
NYC,NYC,5969263,1941
NYC,NYC,5969273,809
NYC,NYC,5969276,679
NYC,NYC,5969278,755
NYC,NYC,5969297,665
NYC,NYC,5969332,660
