trajectory,gamma_mps,k,n_points,n_moves,n_stops,n_move_points,n_move_keypoints,move_cr,move_retention_ratio,e_match_rate,v_match_rate,move_latency_us_per_point,move_latency_p25_us_per_point,move_latency_p75_us_per_point
5705278,2.0,2,643,8,7,323,85,11.817073170731707,0.2631578947368421,0.036585365853658534,0.8571428571428571,13.097832817337462,nan,nan
5705752,2.0,2,682,5,4,434,81,18.083333333333332,0.18663594470046083,0.012658227848101266,1.0,10.840552995391706,nan,nan
5706077,2.0,2,656,5,5,382,55,21.42056074766355,0.14397905759162305,0.0392156862745098,0.8,7.921989528795811,nan,nan
5706137,2.0,2,737,7,7,173,23,12.975,0.1329479768786127,0.5333333333333333,1.0,17.160693641618497,nan,nan
5715345,2.0,2,923,4,3,491,98,17.127906976744185,0.19959266802443992,0.02127659574468085,1.0,7.867413441955193,nan,nan
5771585,2.0,2,720,6,5,355,63,17.459016393442624,0.17746478873239438,0.09090909090909091,0.9,10.054929577464788,nan,nan
5771621,2.0,2,675,6,5,379,55,19.94736842105263,0.14511873350923482,0.018518518518518517,1.0,9.814511873350924,nan,nan
5772092,2.0,2,729,8,7,335,52,16.89075630252101,0.15522388059701492,0.09302325581395349,1.0,10.58776119402985,nan,nan
5772102,2.0,2,725,5,4,359,56,20.32075471698113,0.15598885793871867,0.0,0.8,9.278272980501393,nan,nan
5772192,2.0,2,706,7,6,381,69,16.446043165467625,0.18110236220472442,0.1,0.9166666666666666,10.341207349081365,nan,nan
5874746,2.0,2,729,6,6,364,58,21.0,0.15934065934065933,0.04,1.0,9.772252747252747,nan,nan
5874767,2.0,2,1278,8,7,245,37,15.638297872340425,0.1510204081632653,0.13333333333333333,0.7777777777777778,11.508571428571429,nan,nan
5874769,2.0,2,649,6,6,322,43,19.128712871287128,0.13354037267080746,0.08108108108108109,0.9,9.28664596273292,nan,nan
5874787,2.0,2,1064,5,5,225,42,15.340909090909092,0.18666666666666668,0.025,0.6666666666666666,9.969777777777777,nan,nan
5875173,2.0,2,712,4,4,95,10,16.285714285714285,0.10526315789473684,0.125,0.5,9.370526315789474,nan,nan
5882173,2.0,2,665,8,7,273,51,14.495575221238939,0.18681318681318682,0.041666666666666664,0.9,10.368498168498169,nan,nan
5969330,2.0,2,721,6,5,459,144,9.595818815331011,0.3137254901960784,0.014388489208633094,0.13793103448275862,7.294771241830066,nan,nan
5969331,2.0,2,706,6,5,359,65,16.96062992125984,0.181058495821727,0.03225806451612903,0.9090909090909091,9.728969359331476,nan,nan
5969362,2.0,2,672,5,5,449,74,20.723076923076924,0.16481069042316257,0.046875,0.9090909090909091,8.855902004454343,nan,nan
6058407,2.0,2,696,7,7,329,116,8.773333333333333,0.3525835866261398,0.028037383177570093,0.7777777777777778,12.071124620060791,nan,nan
6062407,2.0,2,666,7,6,333,62,16.112903225806452,0.18618618618618618,0.01639344262295082,0.8181818181818182,8.831231231231232,nan,nan
6109129,2.0,2,721,4,3,482,76,21.74436090225564,0.15767634854771784,0.0273972602739726,1.0,9.183609958506224,nan,nan
6148097,2.0,2,725,4,4,458,98,17.844155844155843,0.21397379912663755,0.010309278350515464,1.0,9.136026200873363,nan,nan
6148143,2.0,2,677,5,4,437,76,18.863309352517987,0.17391304347826086,0.046153846153846156,1.0,10.438901601830665,nan,nan
6148208,2.0,2,646,3,3,319,70,16.938053097345133,0.219435736677116,0.0,1.0,10.363636363636363,nan,nan
6190357,2.0,2,710,2,2,494,77,24.097560975609756,0.15587044534412955,0.043478260869565216,1.0,9.679757085020244,nan,nan
6193396,2.0,2,658,6,5,370,37,23.125,0.1,0.15625,1.0,8.965675675675676,nan,nan
6193436,2.0,2,666,5,6,94,14,13.116279069767442,0.14893617021276595,0.0,0.4,12.142553191489363,nan,nan
