trajectory,strategy,capacity,dp_epsilon_m,n_points,n_moves,n_stops,n_move_points,n_move_keypoints,move_cr,move_mean_sed_m,move_max_sed_m,move_latency_us_per_point,move_latency_p25_us_per_point,move_latency_p75_us_per_point,eviction_hit_rate
11071727,squish_dp,200,20.0,411,1,0,411,6,68.5,45.30915449566583,170.03774624892796,10.399270072992701,9.822627737226277,11.603406326034063,1.0
11071733,squish_dp,200,20.0,257,1,0,257,5,51.4,36.39895647720651,136.7528435235636,6.8949416342412455,6.628404669260701,7.845525291828793,1.0
11071965,squish_dp,200,20.0,535,3,2,448,11,40.72727272727273,62.68376011281598,295.2034970356234,3.1011160714285713,3.074330357142857,3.379017857142857,0.3333333333333333
11092058,squish_dp,200,20.0,446,1,1,399,7,57.0,60.98061130733478,256.85620012607563,10.059899749373434,9.09624060150376,11.587218045112783,1.0
11092072,squish_dp,200,20.0,247,1,0,247,10,24.7,25.629921214430507,104.22821785984273,7.379757085020243,6.695546558704454,9.100404858299596,1.0
4300268,squish_dp,200,20.0,961,5,4,431,12,35.916666666666664,31.54145348048416,113.89411324912665,1.0554524361948956,1.0361948955916473,1.328074245939675,0.0
4303167,squish_dp,200,20.0,610,3,2,518,10,51.8,83.22565640243559,223.9821776766276,8.691505791505792,6.65984555984556,8.718918918918918,0.6666666666666666
4303201,squish_dp,200,20.0,600,1,0,600,22,27.272727272727273,23.94013750839391,126.08223410962843,11.898833333333334,11.628333333333334,12.123666666666667,1.0
4326816,squish_dp,200,20.0,606,4,4,446,13,34.30769230769231,31.707066588892904,174.42698224621725,1.5399103139013453,1.5325112107623318,1.616591928251121,0.0
4453473,squish_dp,200,20.0,610,3,2,512,22,23.272727272727273,43.1808173584392,142.11900412662575,3.7541015625,3.5080078125,4.704296875,0.3333333333333333
4636267,squish_dp,200,20.0,624,4,3,474,15,31.6,22.805568422200643,78.11432812510847,1.8286919831223627,1.8069620253164558,1.8459915611814346,0.0
4652239,squish_dp,200,20.0,601,4,4,432,12,36.0,30.844015128172074,122.07431931037753,3.7222222222222223,3.3368055555555554,4.87662037037037,0.25
4660369,squish_dp,200,20.0,640,3,2,523,22,23.772727272727273,21.20992421359142,85.96659360766922,7.656022944550669,7.573613766730402,8.181835564053538,0.3333333333333333
4748312,squish_dp,200,20.0,624,5,4,435,10,43.5,51.16161531312318,187.66182697285183,0.6551724137931034,0.6468965517241378,0.7006896551724138,0.0
4748313,squish_dp,200,20.0,770,3,2,465,13,35.76923076923077,26.754081194658202,138.7498155952535,9.225591397849461,7.509032258064516,10.324516129032258,0.3333333333333333
4779685,squish_dp,200,20.0,669,5,4,405,18,22.5,10.81280490050458,51.730635484949985,3.8646913580246913,3.792345679012346,3.909382716049383,0.2
4792372,squish_dp,200,20.0,609,3,3,455,7,65.0,46.04476540829901,159.33572473859013,3.137582417582417,2.984395604395605,3.152527472527473,0.3333333333333333
4793806,squish_dp,200,20.0,609,4,3,441,11,40.09090909090909,41.34543011327466,130.00936986780772,4.54421768707483,4.510430839002267,6.173242630385488,0.25
4798549,squish_dp,200,20.0,661,5,4,447,18,24.833333333333332,13.841867678854392,109.31950463193047,4.5322147651006714,4.448098434004474,4.866890380313199,0.2
4944723,squish_dp,200,20.0,650,5,5,292,11,26.545454545454547,41.37522718364355,122.13416902437551,0.8359589041095891,0.8136986301369863,0.8359589041095891,0.0
4981908,squish_dp,200,20.0,251,1,0,251,4,62.75,103.13707121137882,231.0615049495124,6.870517928286852,6.549402390438248,6.978884462151394,1.0
5084249,squish_dp,200,20.0,600,1,0,600,15,40.0,51.280631594406856,303.4051726884247,11.7585,11.752833333333333,12.571666666666667,1.0
5133027,squish_dp,200,20.0,628,4,4,395,14,28.214285714285715,27.574403365963505,107.28687271563642,4.829113924050633,4.749873417721519,4.84126582278481,0.25
5285957,squish_dp,200,20.0,387,1,0,387,4,96.75,39.84493296779469,139.67304498554157,9.028165374677004,8.928682170542636,10.605167958656331,1.0
5286334,squish_dp,200,20.0,342,1,0,342,13,26.307692307692307,18.333552345076974,81.99466553299006,10.476315789473684,9.014035087719298,10.912280701754385,1.0
5395622,squish_dp,200,20.0,231,2,1,198,9,22.0,39.46401826023003,134.41368818365063,2.0348484848484847,1.9984848484848485,3.192929292929293,0.0
5538668,squish_dp,200,20.0,617,1,0,617,29,21.275862068965516,20.96030102845965,165.47203697802425,11.517828200972447,10.736628849270664,11.53743922204214,1.0
5670672,squish_dp,200,20.0,264,3,2,145,7,20.714285714285715,8.889111409949553,30.045325880476458,1.2662068965517241,1.2648275862068965,1.269655172413793,0.0
5729758,squish_dp,200,20.0,253,1,0,253,3,84.33333333333333,90.1072673517754,222.70602102417766,6.729644268774703,6.326086956521739,7.20790513833992,1.0
