trajectory,dp_epsilon_m,n_points,n_moves,n_stops,n_move_points,n_move_keypoints,move_cr,move_mean_sed_m,move_max_sed_m,move_latency_us_per_point,move_latency_p25_us_per_point,move_latency_p75_us_per_point
5547018,1.0,649,4,3,478,58,8.241379310344827,12.932498939463244,137.4758843961234,7.24979079497908,6.643305439330544,7.3395397489539755
5565253,1.0,670,4,4,485,63,7.698412698412699,2.1858538937867222,18.449891949927675,8.297319587628866,7.224742268041237,8.343505154639175
5615881,1.0,1051,5,4,637,75,8.493333333333334,1.3658877498809892,16.75027986047174,8.603453689167974,8.56043956043956,8.627315541601256
5615968,1.0,642,4,3,481,49,9.816326530612244,6.311994941881332,82.8449702823548,7.566943866943866,7.541164241164242,7.567359667359668
5615986,1.0,685,6,5,485,96,5.052083333333333,1.2105641540736667,9.020396636312247,8.808865979381444,8.770721649484537,8.945360824742268
5615988,1.0,671,5,4,505,65,7.769230769230769,4.599257139205304,49.21506378762081,7.90970297029703,7.636633663366337,7.960198019801981
5616015,1.0,657,2,1,621,77,8.064935064935066,13.517848461137072,164.7084787312849,5.611755233494364,4.658454106280193,5.66328502415459
5633515,1.0,663,6,7,370,67,5.522388059701493,1.171952440408929,9.94478557268259,5.525945945945946,3.6432432432432433,6.369189189189189
5692189,1.0,1527,6,5,533,56,9.517857142857142,17.72983495078556,189.657818875798,6.459849906191369,6.041838649155722,6.767166979362101
5705278,1.0,643,8,7,347,46,7.543478260869565,3.7037431734706923,22.02160135319873,4.920172910662824,4.904899135446686,4.954178674351585
5705752,1.0,682,7,6,438,111,3.945945945945946,1.8239155126841595,36.82760864602572,7.7490867579908675,7.188584474885845,8.155707762557077
5706077,1.0,656,4,4,477,46,10.369565217391305,3.6387299347292412,27.262081313950485,5.292872117400419,5.013207547169812,5.354926624737946
5706137,1.0,737,9,9,337,40,8.425,2.151709335498407,28.36487330610195,4.619584569732938,4.585756676557864,4.6507418397626115
5715345,1.0,923,5,4,487,66,7.378787878787879,5.664132450622233,37.73654126521811,3.7061601642710476,3.327104722792608,5.470841889117043
5771585,1.0,720,6,5,505,68,7.426470588235294,1.8398998056955784,12.11865401470165,4.1873267326732675,3.518811881188119,4.87049504950495
5771621,1.0,675,6,5,471,94,5.01063829787234,0.897044587398958,7.3675515936844835,9.09108280254777,8.240552016985138,9.157537154989384
5772092,1.0,729,8,7,376,62,6.064516129032258,0.8505938395170352,7.085970246955635,5.601595744680851,3.6449468085106385,6.356648936170212
5772102,1.0,725,4,4,557,78,7.141025641025641,1.438613822184147,12.022368511112191,8.49443447037702,8.417594254937164,8.495511669658887
5772192,1.0,706,5,5,492,84,5.857142857142857,1.7141957882269379,22.849039999725495,8.147560975609755,7.16869918699187,8.207113821138211
5874746,1.0,729,5,4,509,38,13.394736842105264,4.31941000407484,28.175907719982504,5.76483300589391,5.588998035363458,5.76935166994106
5874767,1.0,1278,8,7,490,73,6.712328767123288,1.1441788546042797,11.828549555119531,6.7693877551020405,6.584081632653061,6.803673469387755
5874769,1.0,649,6,7,306,43,7.116279069767442,1.6308204773543078,7.3640631026251375,3.2718954248366017,3.2519607843137255,3.4366013071895423
5874787,1.0,1064,7,7,382,60,6.366666666666666,0.9677306288798994,9.780782948133831,3.7028795811518322,3.4162303664921465,3.9068062827225134
5875173,1.0,712,5,5,459,39,11.76923076923077,1.5613024712677552,27.343787125849335,3.176252723311547,3.1145969498910673,3.3013071895424835
5882173,1.0,665,7,7,347,39,8.897435897435898,3.6905089691082074,28.359594133308757,2.370893371757925,2.370893371757925,2.378962536023055
5969330,1.0,721,6,6,465,83,5.602409638554217,3.447399560637669,21.962014675771933,3.938279569892473,3.821505376344086,4.953763440860215
5969331,1.0,706,7,6,437,79,5.531645569620253,1.2425428808809342,8.749997647355542,7.841189931350114,6.752173913043478,7.878718535469107
5969362,1.0,672,4,4,474,85,5.576470588235294,1.7592352747768873,18.320257252636228,9.743881856540085,9.708438818565401,9.829957805907172
6058407,1.0,696,6,5,490,78,6.282051282051282,2.457075900032312,24.094478095156067,8.312244897959184,8.284285714285714,8.357755102040816
6062407,1.0,666,6,5,431,47,9.170212765957446,2.7172467483001785,18.974517744695767,6.3190255220417635,6.306728538283062,6.361020881670534
6109129,1.0,721,4,3,585,98,5.969387755102041,1.4937921800067542,11.792358114706841,9.910427350427351,9.505641025641026,10.083931623931624
6148097,1.0,725,7,8,335,71,4.71830985915493,1.5739941671605755,11.035188673445182,6.161492537313433,6.099701492537314,6.897611940298507
6148143,1.0,677,2,1,645,130,4.961538461538462,1.0308525668082278,16.501625362202233,6.434883720930233,6.0124031007751935,6.548062015503876
6148208,1.0,646,6,5,437,57,7.666666666666667,3.910576256679865,50.88540586988174,6.516933638443936,5.474370709382152,6.542562929061785
6190357,1.0,710,5,5,444,77,5.766233766233766,4.29563203968344,83.60482573197524,7.77027027027027,7.456981981981982,9.417792792792794
6193396,1.0,658,5,5,408,66,6.181818181818182,0.950508192011363,6.6167595717137315,3.6723039215686275,3.608578431372549,4.170833333333333
6193436,1.0,666,5,5,462,34,13.588235294117647,1.6706887869293674,28.299786205247567,6.3967532467532475,6.276839826839827,6.467748917748917
4216956,2.5,910,6,5,545,49,11.122448979591837,4.65627728731085,31.911673587167826,3.826422018348624,3.7963302752293577,3.890458715596331
4272243,2.5,646,3,2,564,90,6.266666666666667,6.35614557793233,68.96028603376243,4.643439716312057,4.6209219858156025,4.719858156028369
4344977,2.5,1187,6,5,508,44,11.545454545454545,6.06596436720384,51.896541737832486,3.2816929133858266,3.1811023622047245,3.612992125984252
4350946,2.5,690,5,5,432,53,8.150943396226415,2.3331182825635546,17.79987579013981,3.6689814814814814,3.6439814814814815,3.815740740740741
4351935,2.5,775,2,1,719,49,14.673469387755102,4.324852317980677,40.386059931174685,4.968150208623087,4.847009735744089,5.061613351877608
4352377,2.5,716,4,3,586,50,11.72,4.590772049204757,36.256847497985795,4.321672354948806,4.152047781569966,4.694368600682594
4358853,2.5,666,2,1,614,56,10.964285714285714,3.4414085654294313,23.040962312641607,5.799837133550488,5.707817589576547,6.574755700325733
4359232,2.5,681,4,3,575,62,9.274193548387096,6.293951776542602,36.34629879620176,3.7213913043478266,3.645739130434783,3.786086956521739
4370045,2.5,720,3,2,620,57,10.87719298245614,5.71316298848919,43.70203535783791,8.889193548387096,8.29209677419355,9.106774193548388
